id;nazwa miasta;nazwa województwa
67;Jedlina-Zdrój;DOLNOSLASKIE
68;Szczawno-Zdrój;DOLNOSLASKIE
69;Głuszyca;DOLNOSLASKIE
70;Mieroszów;DOLNOSLASKIE
71;Brzeg Dolny;DOLNOSLASKIE
72;Wołów;DOLNOSLASKIE
73;Kąty Wrocławskie;DOLNOSLASKIE
74;Sobótka;DOLNOSLASKIE
75;Siechnice;DOLNOSLASKIE
76;Bardo;DOLNOSLASKIE
77;Ząbkowice Śląskie;DOLNOSLASKIE
78;Ziębice;DOLNOSLASKIE
79;Złoty Stok;DOLNOSLASKIE
80;Zawidów;DOLNOSLASKIE
81;Zgorzelec;DOLNOSLASKIE
82;Bogatynia;DOLNOSLASKIE
83;Pieńsk;DOLNOSLASKIE
84;Węgliniec;DOLNOSLASKIE
85;Wojcieszów;DOLNOSLASKIE
86;Złotoryja;DOLNOSLASKIE
87;Świerzawa;DOLNOSLASKIE
88;Jelenia Góra;DOLNOSLASKIE
89;Legnica;DOLNOSLASKIE
90;Wrocław;DOLNOSLASKIE
91;Wałbrzych;DOLNOSLASKIE
92;Aleksandrów Kujawski;KUJAWSKO-POMORSKIE
93;Ciechocinek;KUJAWSKO-POMORSKIE
94;Nieszawa;KUJAWSKO-POMORSKIE
95;Brodnica;KUJAWSKO-POMORSKIE
96;Górzno;KUJAWSKO-POMORSKIE
97;Jabłonowo Pomorskie;KUJAWSKO-POMORSKIE
98;Koronowo;KUJAWSKO-POMORSKIE
99;Solec Kujawski;KUJAWSKO-POMORSKIE
100;Chełmno;KUJAWSKO-POMORSKIE
101;Golub-Dobrzyń;KUJAWSKO-POMORSKIE
102;Kowalewo Pomorskie;KUJAWSKO-POMORSKIE
103;Łasin;KUJAWSKO-POMORSKIE
104;Radzyń Chełmiński;KUJAWSKO-POMORSKIE
105;Inowrocław;KUJAWSKO-POMORSKIE
106;Gniewkowo;KUJAWSKO-POMORSKIE
107;Janikowo;KUJAWSKO-POMORSKIE
108;Kruszwica;KUJAWSKO-POMORSKIE
109;Pakość;KUJAWSKO-POMORSKIE
110;Lipno;KUJAWSKO-POMORSKIE
111;Dobrzyń nad Wisłą;KUJAWSKO-POMORSKIE
112;Skępe;KUJAWSKO-POMORSKIE
113;Mogilno;KUJAWSKO-POMORSKIE
114;Strzelno;KUJAWSKO-POMORSKIE
115;Kcynia;KUJAWSKO-POMORSKIE
116;Mrocza;KUJAWSKO-POMORSKIE
117;Nakło nad Notecią;KUJAWSKO-POMORSKIE
118;Szubin;KUJAWSKO-POMORSKIE
119;Radziejów;KUJAWSKO-POMORSKIE
120;Piotrków Kujawski;KUJAWSKO-POMORSKIE
121;Rypin;KUJAWSKO-POMORSKIE
122;Kamień Krajeński;KUJAWSKO-POMORSKIE
123;Sępólno Krajeńskie;KUJAWSKO-POMORSKIE
124;Więcbork;KUJAWSKO-POMORSKIE
125;Nowe;KUJAWSKO-POMORSKIE
126;Świecie;KUJAWSKO-POMORSKIE
127;Chełmża;KUJAWSKO-POMORSKIE
128;Tuchola;KUJAWSKO-POMORSKIE
129;Wąbrzeźno;KUJAWSKO-POMORSKIE
130;Kowal;KUJAWSKO-POMORSKIE
131;Brześć Kujawski;KUJAWSKO-POMORSKIE
132;Chodecz;KUJAWSKO-POMORSKIE
133;Izbica Kujawska;KUJAWSKO-POMORSKIE
134;Lubień Kujawski;KUJAWSKO-POMORSKIE
135;Lubraniec;KUJAWSKO-POMORSKIE
136;Barcin;KUJAWSKO-POMORSKIE
137;Janowiec Wielkopolski;KUJAWSKO-POMORSKIE
138;Łabiszyn;KUJAWSKO-POMORSKIE
139;Żnin;KUJAWSKO-POMORSKIE
140;Bydgoszcz;KUJAWSKO-POMORSKIE
141;Grudziądz;KUJAWSKO-POMORSKIE
142;Toruń;KUJAWSKO-POMORSKIE
143;Włocławek;KUJAWSKO-POMORSKIE
144;Międzyrzec Podlaski;LUBELSKIE
145;Terespol;LUBELSKIE
146;Biłgoraj;LUBELSKIE
147;Frampol;LUBELSKIE
148;Józefów;LUBELSKIE
149;Tarnogród;LUBELSKIE
150;Rejowiec Fabryczny;LUBELSKIE
151;Siedliszcze;LUBELSKIE
152;Hrubieszów;LUBELSKIE
153;Janów Lubelski;LUBELSKIE
154;Modliborzyce;LUBELSKIE
155;Krasnystaw;LUBELSKIE
156;Kraśnik;LUBELSKIE
157;Annopol;LUBELSKIE
158;Urzędów;LUBELSKIE
159;Lubartów;LUBELSKIE
160;Kock;LUBELSKIE
161;Ostrów Lubelski;LUBELSKIE
162;Bełżyce;LUBELSKIE
163;Bychawa;LUBELSKIE
164;Łęczna;LUBELSKIE
165;Łuków;LUBELSKIE
166;Stoczek Łukowski;LUBELSKIE
167;Opole Lubelskie;LUBELSKIE
168;Poniatowa;LUBELSKIE
169;Parczew;LUBELSKIE
170;Puławy;LUBELSKIE
171;Kazimierz Dolny;LUBELSKIE
172;Nałęczów;LUBELSKIE
173;Radzyń Podlaski;LUBELSKIE
174;Dęblin;LUBELSKIE
175;Ryki;LUBELSKIE
176;Świdnik;LUBELSKIE
177;Piaski;LUBELSKIE
178;Tomaszów Lubelski;LUBELSKIE
179;Lubycza Królewska;LUBELSKIE
180;Łaszczów;LUBELSKIE
181;Tyszowce;LUBELSKIE
182;Włodawa;LUBELSKIE
183;Krasnobród;LUBELSKIE
184;Szczebrzeszyn;LUBELSKIE
185;Zwierzyniec;LUBELSKIE
186;Biała Podlaska;LUBELSKIE
187;Chełm;LUBELSKIE
188;Lublin;LUBELSKIE
189;Zamość;LUBELSKIE
190;Kostrzyn nad Odrą;LUBUSKIE
191;Witnica;LUBUSKIE
192;Gubin;LUBUSKIE
193;Krosno Odrzańskie;LUBUSKIE
194;Międzyrzecz;LUBUSKIE
195;Skwierzyna;LUBUSKIE
196;Trzciel;LUBUSKIE
197;Nowa Sól;LUBUSKIE
198;Bytom Odrzański;LUBUSKIE
199;Kożuchów;LUBUSKIE
200;Nowe Miasteczko;LUBUSKIE
201;Cybinka;LUBUSKIE
202;Ośno Lubuskie;LUBUSKIE
203;Rzepin;LUBUSKIE
204;Słubice;LUBUSKIE
205;Dobiegniew;LUBUSKIE
206;Drezdenko;LUBUSKIE
207;Strzelce Krajeńskie;LUBUSKIE
208;Lubniewice;LUBUSKIE
209;Sulęcin;LUBUSKIE
210;Torzym;LUBUSKIE
211;Świebodzin;LUBUSKIE
212;Zbąszynek;LUBUSKIE
213;Babimost;LUBUSKIE
214;Czerwieńsk;LUBUSKIE
215;Kargowa;LUBUSKIE
216;Nowogród Bobrzański;LUBUSKIE
217;Sulechów;LUBUSKIE
218;Gozdnica;LUBUSKIE
219;Żagań;LUBUSKIE
220;Iłowa;LUBUSKIE
221;Małomice;LUBUSKIE
222;Szprotawa;LUBUSKIE
223;Łęknica;LUBUSKIE
224;Żary;LUBUSKIE
225;Jasień;LUBUSKIE
226;Lubsko;LUBUSKIE
227;Sława;LUBUSKIE
228;Szlichtyngowa;LUBUSKIE
229;Wschowa;LUBUSKIE
230;Gorzów Wielkopolski;LUBUSKIE
231;Zielona Góra;LUBUSKIE
232;Bełchatów;LODZKIE
233;Zelów;LODZKIE
234;Kutno;LODZKIE
235;Krośniewice;LODZKIE
236;Żychlin;LODZKIE
237;Łask;LODZKIE
238;Łęczyca;LODZKIE
239;Łowicz;LODZKIE
240;Koluszki;LODZKIE
241;Rzgów;LODZKIE
242;Tuszyn;LODZKIE
243;Drzewica;LODZKIE
244;Opoczno;LODZKIE
245;Konstantynów Łódzki;LODZKIE
246;Pabianice;LODZKIE
247;Działoszyn;LODZKIE
248;Pajęczno;LODZKIE
249;Sulejów;LODZKIE
250;Wolbórz;LODZKIE
251;Poddębice;LODZKIE
252;Uniejów;LODZKIE
253;Radomsko;LODZKIE
254;Kamieńsk;LODZKIE
255;Przedbórz;LODZKIE
256;Rawa Mazowiecka;LODZKIE
257;Biała Rawska;LODZKIE
258;Sieradz;LODZKIE
259;Błaszki;LODZKIE
260;Warta;LODZKIE
261;Złoczew;LODZKIE
262;Tomaszów Mazowiecki;LODZKIE
263;Wieluń;LODZKIE
264;Wieruszów;LODZKIE
265;Zduńska Wola;LODZKIE
266;Szadek;LODZKIE
267;Głowno;LODZKIE
268;Ozorków;LODZKIE
269;Zgierz;LODZKIE
270;Aleksandrów Łódzki;LODZKIE
271;Stryków;LODZKIE
272;Brzeziny;LODZKIE
273;Łódź;LODZKIE
274;Piotrków Trybunalski;LODZKIE
275;Skierniewice;LODZKIE
276;Bochnia;MALOPOLSKIE
277;Nowy Wiśnicz;MALOPOLSKIE
278;Brzesko;MALOPOLSKIE
279;Czchów;MALOPOLSKIE
280;Alwernia;MALOPOLSKIE
281;Chrzanów;MALOPOLSKIE
282;Libiąż;MALOPOLSKIE
283;Trzebinia;MALOPOLSKIE
284;Dąbrowa Tarnowska;MALOPOLSKIE
285;Szczucin;MALOPOLSKIE
286;Gorlice;MALOPOLSKIE
287;Biecz;MALOPOLSKIE
288;Bobowa;MALOPOLSKIE
289;Krzeszowice;MALOPOLSKIE
290;Skała;MALOPOLSKIE
291;Skawina;MALOPOLSKIE
292;Słomniki;MALOPOLSKIE
293;Świątniki Górne;MALOPOLSKIE
294;Limanowa;MALOPOLSKIE
295;Mszana Dolna;MALOPOLSKIE
296;Miechów;MALOPOLSKIE
297;Dobczyce;MALOPOLSKIE
298;Myślenice;MALOPOLSKIE
299;Sułkowice;MALOPOLSKIE
300;Grybów;MALOPOLSKIE
301;Krynica-Zdrój;MALOPOLSKIE
302;Muszyna;MALOPOLSKIE
303;Piwniczna-Zdrój;MALOPOLSKIE
304;Stary Sącz;MALOPOLSKIE
305;Nowy Targ;MALOPOLSKIE
306;Szczawnica;MALOPOLSKIE
307;Rabka-Zdrój;MALOPOLSKIE
308;Bukowno;MALOPOLSKIE
309;Olkusz;MALOPOLSKIE
310;Wolbrom;MALOPOLSKIE
311;Oświęcim;MALOPOLSKIE
312;Brzeszcze;MALOPOLSKIE
313;Chełmek;MALOPOLSKIE
314;Kęty;MALOPOLSKIE
315;Zator;MALOPOLSKIE
316;Nowe Brzesko;MALOPOLSKIE
317;Proszowice;MALOPOLSKIE
318;Jordanów;MALOPOLSKIE
319;Sucha Beskidzka;MALOPOLSKIE
320;Maków Podhalański;MALOPOLSKIE
321;Ciężkowice;MALOPOLSKIE
322;Radłów;MALOPOLSKIE
323;Ryglice;MALOPOLSKIE
324;Tuchów;MALOPOLSKIE
325;Wojnicz;MALOPOLSKIE
326;Zakliczyn;MALOPOLSKIE
327;Żabno;MALOPOLSKIE
328;Zakopane;MALOPOLSKIE
329;Andrychów;MALOPOLSKIE
330;Kalwaria Zebrzydowska;MALOPOLSKIE
331;Wadowice;MALOPOLSKIE
332;Niepołomice;MALOPOLSKIE
333;Wieliczka;MALOPOLSKIE
334;Kraków;MALOPOLSKIE
335;Nowy Sącz;MALOPOLSKIE
336;Tarnów;MALOPOLSKIE
337;Białobrzegi;MAZOWIECKIE
338;Wyśmierzyce;MAZOWIECKIE
339;Ciechanów;MAZOWIECKIE
340;Glinojeck;MAZOWIECKIE
341;Garwolin;MAZOWIECKIE
342;Łaskarzew;MAZOWIECKIE
343;Pilawa;MAZOWIECKIE
344;Żelechów;MAZOWIECKIE
345;Gostynin;MAZOWIECKIE
346;Milanówek;MAZOWIECKIE
347;Podkowa Leśna;MAZOWIECKIE
348;Grodzisk Mazowiecki;MAZOWIECKIE
349;Grójec;MAZOWIECKIE
350;Mogielnica;MAZOWIECKIE
351;Nowe Miasto nad Pilicą;MAZOWIECKIE
352;Warka;MAZOWIECKIE
353;Kozienice;MAZOWIECKIE
354;Legionowo;MAZOWIECKIE
355;Serock;MAZOWIECKIE
356;Lipsko;MAZOWIECKIE
357;Łosice;MAZOWIECKIE
358;Maków Mazowiecki;MAZOWIECKIE
359;Różan;MAZOWIECKIE
360;Mińsk Mazowiecki;MAZOWIECKIE
361;Halinów;MAZOWIECKIE
362;Kałuszyn;MAZOWIECKIE
363;Mrozy;MAZOWIECKIE
364;Sulejówek;MAZOWIECKIE
365;Mława;MAZOWIECKIE
366;Nowy Dwór Mazowiecki;MAZOWIECKIE
367;Nasielsk;MAZOWIECKIE
368;Zakroczym;MAZOWIECKIE
369;Myszyniec;MAZOWIECKIE
370;Ostrów Mazowiecka;MAZOWIECKIE
371;Brok;MAZOWIECKIE
372;Józefów;MAZOWIECKIE
373;Otwock;MAZOWIECKIE
374;Karczew;MAZOWIECKIE
375;Góra Kalwaria;MAZOWIECKIE
376;Konstancin-Jeziorna;MAZOWIECKIE
377;Piaseczno;MAZOWIECKIE
378;Tarczyn;MAZOWIECKIE
379;Drobin;MAZOWIECKIE
380;Gąbin;MAZOWIECKIE
381;Wyszogród;MAZOWIECKIE
382;Płońsk;MAZOWIECKIE
383;Raciąż;MAZOWIECKIE
384;Piastów;MAZOWIECKIE
385;Pruszków;MAZOWIECKIE
386;Brwinów;MAZOWIECKIE
387;Przasnysz;MAZOWIECKIE
388;Chorzele;MAZOWIECKIE
389;Przysucha;MAZOWIECKIE
390;Pułtusk;MAZOWIECKIE
391;Pionki;MAZOWIECKIE
392;Iłża;MAZOWIECKIE
393;Skaryszew;MAZOWIECKIE
394;Mordy;MAZOWIECKIE
395;Sierpc;MAZOWIECKIE
396;Sochaczew;MAZOWIECKIE
397;Sokołów Podlaski;MAZOWIECKIE
398;Kosów Lacki;MAZOWIECKIE
399;Szydłowiec;MAZOWIECKIE
400;Błonie;MAZOWIECKIE
401;Łomianki;MAZOWIECKIE
402;Ożarów Mazowiecki;MAZOWIECKIE
403;Węgrów;MAZOWIECKIE
404;Łochów;MAZOWIECKIE
405;Kobyłka;MAZOWIECKIE
406;Marki;MAZOWIECKIE
407;Ząbki;MAZOWIECKIE
408;Zielonka;MAZOWIECKIE
409;Radzymin;MAZOWIECKIE
410;Tłuszcz;MAZOWIECKIE
411;Wołomin;MAZOWIECKIE
412;Wyszków;MAZOWIECKIE
413;Zwoleń;MAZOWIECKIE
414;Bieżuń;MAZOWIECKIE
415;Żuromin;MAZOWIECKIE
416;Żyrardów;MAZOWIECKIE
417;Mszczonów;MAZOWIECKIE
418;Ostrołęka;MAZOWIECKIE
419;Płock;MAZOWIECKIE
420;Radom;MAZOWIECKIE
421;Siedlce;MAZOWIECKIE
422;Brzeg;OPOLSKIE
423;Grodków;OPOLSKIE
424;Lewin Brzeski;OPOLSKIE
425;Baborów;OPOLSKIE
426;Głubczyce;OPOLSKIE
427;Kietrz;OPOLSKIE
428;Kędzierzyn-Koźle;OPOLSKIE
429;Byczyna;OPOLSKIE
430;Kluczbork;OPOLSKIE
431;Wołczyn;OPOLSKIE
432;Gogolin;OPOLSKIE
433;Krapkowice;OPOLSKIE
434;Zdzieszowice;OPOLSKIE
435;Namysłów;OPOLSKIE
436;Głuchołazy;OPOLSKIE
437;Korfantów;OPOLSKIE
438;Nysa;OPOLSKIE
439;Otmuchów;OPOLSKIE
440;Paczków;OPOLSKIE
441;Dobrodzień;OPOLSKIE
442;Gorzów Śląski;OPOLSKIE
443;Olesno;OPOLSKIE
444;Praszka;OPOLSKIE
445;Niemodlin;OPOLSKIE
446;Ozimek;OPOLSKIE
447;Prószków;OPOLSKIE
448;Biała;OPOLSKIE
449;Głogówek;OPOLSKIE
450;Prudnik;OPOLSKIE
451;Kolonowskie;OPOLSKIE
452;Leśnica;OPOLSKIE
453;Strzelce Opolskie;OPOLSKIE
454;Ujazd;OPOLSKIE
455;Zawadzkie;OPOLSKIE
456;Opole;OPOLSKIE
457;Ustrzyki Dolne;PODKARPACKIE
458;Brzozów;PODKARPACKIE
459;Dębica;PODKARPACKIE
460;Brzostek;PODKARPACKIE
461;Pilzno;PODKARPACKIE
462;Jarosław;PODKARPACKIE
463;Radymno;PODKARPACKIE
464;Pruchnik;PODKARPACKIE
465;Jasło;PODKARPACKIE
466;Kołaczyce;PODKARPACKIE
467;Kolbuszowa;PODKARPACKIE
468;Dukla;PODKARPACKIE
469;Iwonicz-Zdrój;PODKARPACKIE
470;Jedlicze;PODKARPACKIE
471;Rymanów;PODKARPACKIE
472;Leżajsk;PODKARPACKIE
473;Nowa Sarzyna;PODKARPACKIE
474;Lubaczów;PODKARPACKIE
475;Cieszanów;PODKARPACKIE
476;Narol;PODKARPACKIE
477;Oleszyce;PODKARPACKIE
478;Łańcut;PODKARPACKIE
479;Mielec;PODKARPACKIE
480;Przecław;PODKARPACKIE
481;Radomyśl Wielki;PODKARPACKIE
482;Nisko;PODKARPACKIE
483;Rudnik nad Sanem;PODKARPACKIE
484;Ulanów;PODKARPACKIE
485;Przeworsk;PODKARPACKIE
486;Kańczuga;PODKARPACKIE
487;Sieniawa;PODKARPACKIE
488;Ropczyce;PODKARPACKIE
489;Sędziszów Małopolski;PODKARPACKIE
490;Dynów;PODKARPACKIE
491;Błażowa;PODKARPACKIE
492;Boguchwała;PODKARPACKIE
493;Głogów Małopolski;PODKARPACKIE
494;Sokołów Małopolski;PODKARPACKIE
495;Tyczyn;PODKARPACKIE
496;Sanok;PODKARPACKIE
497;Zagórz;PODKARPACKIE
498;Stalowa Wola;PODKARPACKIE
499;Zaklików;PODKARPACKIE
500;Strzyżów;PODKARPACKIE
501;Baranów Sandomierski;PODKARPACKIE
502;Nowa Dęba;PODKARPACKIE
503;Lesko;PODKARPACKIE
504;Krosno;PODKARPACKIE
505;Przemyśl;PODKARPACKIE
506;Rzeszów;PODKARPACKIE
507;Tarnobrzeg;PODKARPACKIE
508;Augustów;PODLASKIE
509;Lipsk;PODLASKIE
510;Choroszcz;PODLASKIE
511;Czarna Białostocka;PODLASKIE
512;Łapy;PODLASKIE
513;Michałowo;PODLASKIE
514;Supraśl;PODLASKIE
515;Suraż;PODLASKIE
516;Tykocin;PODLASKIE
517;Wasilków;PODLASKIE
518;Zabłudów;PODLASKIE
519;Bielsk Podlaski;PODLASKIE
520;Brańsk;PODLASKIE
521;Grajewo;PODLASKIE
522;Rajgród;PODLASKIE
523;Szczuczyn;PODLASKIE
524;Hajnówka;PODLASKIE
525;Kleszczele;PODLASKIE
526;Kolno;PODLASKIE
527;Stawiski;PODLASKIE
528;Jedwabne;PODLASKIE
529;Nowogród;PODLASKIE
530;Goniądz;PODLASKIE
531;Knyszyn;PODLASKIE
532;Mońki;PODLASKIE
533;Sejny;PODLASKIE
534;Siemiatycze;PODLASKIE
535;Drohiczyn;PODLASKIE
536;Dąbrowa Białostocka;PODLASKIE
537;Krynki;PODLASKIE
538;Sokółka;PODLASKIE
539;Suchowola;PODLASKIE
540;Wysokie Mazowieckie;PODLASKIE
541;Ciechanowiec;PODLASKIE
542;Czyżew;PODLASKIE
543;Szepietowo;PODLASKIE
544;Zambrów;PODLASKIE
545;Białystok;PODLASKIE
546;Łomża;PODLASKIE
547;Suwałki;PODLASKIE
548;Bytów;POMORSKIE
549;Miastko;POMORSKIE
550;Chojnice;POMORSKIE
551;Brusy;POMORSKIE
552;Czersk;POMORSKIE
553;Człuchów;POMORSKIE
554;Czarne;POMORSKIE
555;Debrzno;POMORSKIE
556;Pruszcz Gdański;POMORSKIE
557;Kartuzy;POMORSKIE
558;Żukowo;POMORSKIE
559;Kościerzyna;POMORSKIE
560;Kwidzyn;POMORSKIE
561;Prabuty;POMORSKIE
562;Lębork;POMORSKIE
563;Łeba;POMORSKIE
564;Malbork;POMORSKIE
565;Nowy Staw;POMORSKIE
566;Krynica Morska;POMORSKIE
567;Nowy Dwór Gdański;POMORSKIE
568;Hel;POMORSKIE
569;Jastarnia;POMORSKIE
570;Puck;POMORSKIE
571;Władysławowo;POMORSKIE
572;Ustka;POMORSKIE
573;Kępice;POMORSKIE
574;Czarna Woda;POMORSKIE
575;Skórcz;POMORSKIE
576;Starogard Gdański;POMORSKIE
577;Skarszewy;POMORSKIE
578;Tczew;POMORSKIE
579;Gniew;POMORSKIE
580;Pelplin;POMORSKIE
581;Reda;POMORSKIE
582;Rumia;POMORSKIE
583;Wejherowo;POMORSKIE
584;Dzierzgoń;POMORSKIE
585;Sztum;POMORSKIE
586;Gdańsk;POMORSKIE
587;Gdynia;POMORSKIE
588;Słupsk;POMORSKIE
589;Sopot;POMORSKIE
590;Będzin;SLASKIE
591;Czeladź;SLASKIE
592;Wojkowice;SLASKIE
593;Siewierz;SLASKIE
594;Sławków;SLASKIE
595;Szczyrk;SLASKIE
596;Czechowice-Dziedzice;SLASKIE
597;Wilamowice;SLASKIE
598;Cieszyn;SLASKIE
599;Ustroń;SLASKIE
600;Wisła;SLASKIE
601;Skoczów;SLASKIE
602;Strumień;SLASKIE
603;Blachownia;SLASKIE
604;Koniecpol;SLASKIE
605;Knurów;SLASKIE
606;Pyskowice;SLASKIE
607;Sośnicowice;SLASKIE
608;Toszek;SLASKIE
609;Kłobuck;SLASKIE
610;Krzepice;SLASKIE
611;Lubliniec;SLASKIE
612;Woźniki;SLASKIE
613;Łaziska Górne;SLASKIE
614;Mikołów;SLASKIE
615;Orzesze;SLASKIE
616;Myszków;SLASKIE
617;Koziegłowy;SLASKIE
618;Żarki;SLASKIE
619;Pszczyna;SLASKIE
620;Racibórz;SLASKIE
621;Krzanowice;SLASKIE
622;Kuźnia Raciborska;SLASKIE
623;Czerwionka-Leszczyny;SLASKIE
624;Kalety;SLASKIE
625;Miasteczko Śląskie;SLASKIE
626;Radzionków;SLASKIE
627;Tarnowskie Góry;SLASKIE
628;Bieruń;SLASKIE
629;Imielin;SLASKIE
630;Lędziny;SLASKIE
631;Pszów;SLASKIE
632;Radlin;SLASKIE
633;Rydułtowy;SLASKIE
634;Wodzisław Śląski;SLASKIE
635;Poręba;SLASKIE
636;Zawiercie;SLASKIE
637;Łazy;SLASKIE
638;Ogrodzieniec;SLASKIE
639;Pilica;SLASKIE
640;Szczekociny;SLASKIE
641;Żywiec;SLASKIE
642;Bielsko-Biała;SLASKIE
643;Bytom;SLASKIE
644;Chorzów;SLASKIE
645;Częstochowa;SLASKIE
646;Dąbrowa Górnicza;SLASKIE
647;Gliwice;SLASKIE
648;Jastrzębie-Zdrój;SLASKIE
649;Jaworzno;SLASKIE
650;Katowice;SLASKIE
651;Mysłowice;SLASKIE
652;Piekary Śląskie;SLASKIE
653;Ruda Śląska;SLASKIE
654;Rybnik;SLASKIE
655;Siemianowice Śląskie;SLASKIE
656;Sosnowiec;SLASKIE
657;Świętochłowice;SLASKIE
658;Tychy;SLASKIE
659;Zabrze;SLASKIE
660;Żory;SLASKIE
661;Busko-Zdrój;SWIE�TOKRZYSKIE
662;Stopnica;SWIE�TOKRZYSKIE
663;Jędrzejów;SWIE�TOKRZYSKIE
664;Małogoszcz;SWIE�TOKRZYSKIE
665;Sędziszów;SWIE�TOKRZYSKIE
666;Kazimierza Wielka;SWIE�TOKRZYSKIE
667;Skalbmierz;SWIE�TOKRZYSKIE
668;Bodzentyn;SWIE�TOKRZYSKIE
669;Chęciny;SWIE�TOKRZYSKIE
670;Chmielnik;SWIE�TOKRZYSKIE
671;Daleszyce;SWIE�TOKRZYSKIE
672;Końskie;SWIE�TOKRZYSKIE
673;Stąporków;SWIE�TOKRZYSKIE
674;Opatów;SWIE�TOKRZYSKIE
675;Ożarów;SWIE�TOKRZYSKIE
676;Ostrowiec Świętokrzyski;SWIE�TOKRZYSKIE
677;Ćmielów;SWIE�TOKRZYSKIE
678;Kunów;SWIE�TOKRZYSKIE
679;Działoszyce;SWIE�TOKRZYSKIE
680;Pińczów;SWIE�TOKRZYSKIE
681;Sandomierz;SWIE�TOKRZYSKIE
682;Koprzywnica;SWIE�TOKRZYSKIE
683;Zawichost;SWIE�TOKRZYSKIE
684;Skarżysko-Kamienna;SWIE�TOKRZYSKIE
685;Suchedniów;SWIE�TOKRZYSKIE
686;Starachowice;SWIE�TOKRZYSKIE
687;Wąchock;SWIE�TOKRZYSKIE
688;Osiek;SWIE�TOKRZYSKIE
689;Połaniec;SWIE�TOKRZYSKIE
690;Staszów;SWIE�TOKRZYSKIE
691;Włoszczowa;SWIE�TOKRZYSKIE
692;Kielce;SWIE�TOKRZYSKIE
693;Bartoszyce;WARMINSKO-MAZURSKIE
694;Górowo Iławeckie;WARMINSKO-MAZURSKIE
695;Bisztynek;WARMINSKO-MAZURSKIE
696;Sępopol;WARMINSKO-MAZURSKIE
697;Braniewo;WARMINSKO-MAZURSKIE
698;Frombork;WARMINSKO-MAZURSKIE
699;Pieniężno;WARMINSKO-MAZURSKIE
700;Działdowo;WARMINSKO-MAZURSKIE
701;Lidzbark;WARMINSKO-MAZURSKIE
702;Młynary;WARMINSKO-MAZURSKIE
703;Pasłęk;WARMINSKO-MAZURSKIE
704;Tolkmicko;WARMINSKO-MAZURSKIE
705;Ełk;WARMINSKO-MAZURSKIE
706;Giżycko;WARMINSKO-MAZURSKIE
707;Ryn;WARMINSKO-MAZURSKIE
708;Iława;WARMINSKO-MAZURSKIE
709;Lubawa;WARMINSKO-MAZURSKIE
710;Kisielice;WARMINSKO-MAZURSKIE
